Variable,Pearson_r,p_value
Age_years,0.01031195748223757,0.7708846818348049
Height_cm,0.9133801122312053,1.0918758463e-313
Weight_kg,0.5167703760650793,7.9489447206725775e-56
BMI,-0.04570480784001964,0.19657169099253313
Foot_Breadth_cm,0.883088829828718,1.7891390097064736e-264
Instep_Length_cm,0.9429644736493734,0.0
Heel_Breadth_cm,0.7243036562926481,5.385782735855917e-131
Bimalleolar_Breadth_cm,0.8458446146294323,5.378714854662737e-220
Ankle_Height_cm,0.8231861203553787,2.3208287025235866e-198
Calf_Height_cm,0.879635093297565,9.575012318329957e-260
Medial_Lateral_Malleolus_Height_cm,0.8179097461643008,9.153299425465281e-194
Calf_Circumference_cm,0.46031949734691135,3.3343191207300566e-43
Ankle_Circumference_cm,0.4681602257075941,8.084401702455002e-45
Heel_Ankle_Circumference_cm,0.4655939667989151,2.7604431673892403e-44
Instep_Circumference_cm,0.5105766718698801,2.5314172750845696e-54
Ball_of_Foot_Circumference_cm,0.5991266734509169,4.182545296921463e-79
