Variable,Female Mean,Female SD,Male Mean,Male SD,Levene p,Test,t-statistic,p-value,Cohen's d
Height_cm,160.7683209876543,6.268473265072582,173.68607594936708,6.754408415242769,0.5427061810258008,Independent t-test,28.04734547656835,5.34172623992791e-121,1.9834017773935255
Weight_kg,59.184987654320985,9.919285861009424,68.62260759493671,11.235528720079849,0.03577089436601404,Welch's t-test,12.583142140606762,3.420920910134281e-33,0.8912136233762813
BMI,22.876765432098765,3.458756666779295,22.717797468354433,3.2965938365749317,0.3393757096623416,Independent t-test,-0.6651462752630474,0.5061491227585708,-0.04703661905136645
Foot_Length_cm,23.733851851851853,1.115487718123749,25.877620253164558,1.1590699087612768,0.4272427038218016,Independent t-test,26.657323352912176,1.8208468536187629e-112,1.8851046906699627
Foot_Breadth_cm,6.633456790123457,0.3625492813678773,7.168632911392404,0.3361760996562381,0.1262361068117027,Independent t-test,21.63650454298758,4.7326882586609466e-82,1.5300514482911154
Instep_Length_cm,16.13474074074074,0.8316509552276924,17.559594936708862,0.882956695349564,0.047452303681619276,Welch's t-test,23.483355622850453,5.679363503407226e-93,1.6618969370817747
Heel_Breadth_cm,2.0483456790123458,0.16761719414964468,2.2951139240506326,0.16643980233271305,0.7312056010862645,Independent t-test,20.89093530809313,1.2007670231245539e-77,1.4773276228975505
Bimalleolar_Breadth_cm,8.859481481481481,0.4121285940065306,9.650987341772153,0.45137835980165314,0.08504280465708144,Independent t-test,25.911835904484747,6.7262630857638676e-108,1.832386648904805
Ankle_Height_cm,16.881283950617284,0.8166390496965623,18.18298734177215,0.8281437179655836,0.4264152596035287,Independent t-test,22.384221529916378,1.6549936562478318e-86,1.5829271545536159
Calf_Height_cm,39.35086419753086,1.6476068735380605,42.556835443037976,1.7615807854637895,0.4167997067197477,Independent t-test,26.592491682153124,4.548024583298633e-112,1.8805200410772827
Medial_Lateral_Malleolus_Height_cm,16.862765432098765,0.7954385780658175,18.221670886075948,0.8218014402184703,0.8776599691175039,Independent t-test,23.766040874449516,7.923141418994278e-95,1.68064417188324
Calf_Circumference_cm,43.760592592592594,3.294721572762136,46.4533417721519,3.0317390382573,0.041058758953615666,Welch's t-test,12.03362987273158,9.261806801095246e-31,0.8500891473626723
Ankle_Circumference_cm,14.381382716049384,1.0945832265294106,15.444987341772153,1.061246603118823,0.8569967695998163,Independent t-test,13.948925800036827,9.850522618381958e-40,0.9864150690352063
Heel_Ankle_Circumference_cm,20.05479012345679,1.5295159617113956,21.424911392405065,1.4124018063876662,0.10040491083671263,Independent t-test,13.154655855644313,6.509235324209943e-36,0.930247314380689
Instep_Circumference_cm,24.891209876543215,1.6508688885041494,26.671999999999997,1.7079736264443435,0.37895558295166226,Independent t-test,14.995602545725115,5.74067540088505e-45,1.0604320742982876
Ball_of_Foot_Circumference_cm,32.065654320987655,1.890363100699829,34.48832911392405,1.8876732765559099,0.9415299563190558,Independent t-test,18.135772624961078,8.181438929832625e-62,1.2824929791948962
